tier,district,district_type,method,total_ips,high_confidence,ny_k12_confirmed,ripe_validated,ripe_skipped,also_in_arin,arin_blocks,arin_block_size,sample_hostname
1,Monroe Woodbury Middle School,public,RIG (GeoLite2 + reverse DNS),4079,4079,4079,0,3,yes,,,mwcsd-209-222-32-1.mw.k12.ny.us
1,Bay Shore High School,public,RIG (GeoLite2 + reverse DNS),28,28,28,0,3,no,,,gw.bayshore.k12.ny.us
1,Scarsdale Middle School,public,RIG (GeoLite2 + reverse DNS),28,28,28,0,3,no,,,project.scarsdaleschools.k12.ny.us
1,Syosset High School,public,RIG (GeoLite2 + reverse DNS),10,10,10,0,3,no,,,fw.syosset.k12.ny.us
1,Malverne High School,public,RIG (GeoLite2 + reverse DNS),4,4,4,0,3,yes,,,archiver.archiver.malverne.k12.ny.us
1,North Shore High School,public,RIG (GeoLite2 + reverse DNS),4,4,4,0,3,no,,,powerschool.northshore.k12.ny.us
1,Smithtown High School West,public,RIG (GeoLite2 + reverse DNS),2,2,2,0,2,yes,,,mail.smithtown.k12.ny.us
1,Wallkill Valley High School,public,RIG (GeoLite2 + reverse DNS),2,2,2,0,2,no,,,testhopper.care.wallkill.k12.ny.us
1,Baldwin Middle School,public,RIG (GeoLite2 + reverse DNS),1,1,1,0,1,no,,,mail.baldwin.k12.ny.us
1,Levittown Public Schools,public,RIG (GeoLite2 + reverse DNS),1,1,1,0,1,no,,,mail.levittown.k12.ny.us
1,Hackley School,private,RIG (GeoLite2 + reverse DNS),1,1,1,0,1,no,,,mail.hackley.k12.ny.us
1,Brentwood High School,public,RIG (GeoLite2 + reverse DNS),1,1,1,0,1,no,,,brentwood.k12.ny.us
2,Albany Schoharie Schenectady BOCES,public,ARIN WHOIS ownership,65534,,,,,yes,163.153.0.0/16,65534,
2,BOCES,public,ARIN WHOIS ownership,284,,,,,yes,199.221.4.0/24 | 4.43.108.64/27,284,
2,BOCES Southern Westchester Lower Hudson Regional Information Center,public,ARIN WHOIS ownership,65534,,,,,yes,166.109.0.0/16,65534,
2,Beacon Central School District,public,ARIN WHOIS ownership,14,,,,,yes,64.72.66.64/28,14,
2,BrockportCentral School District,public,ARIN WHOIS ownership,62,,,,,yes,206.181.202.192/26,62,
2,Broome - Tioga BOCES,public,ARIN WHOIS ownership,4094,,,,,yes,216.162.16.0/20,4094,
2,Canandaigua City School District,public,ARIN WHOIS ownership,30,,,,,yes,72.18.53.224/27,30,
2,Clarkstown Central School District,public,ARIN WHOIS ownership,4094,,,,,yes,70.34.80.0/20,4094,
2,Dutchess County BOCES,public,ARIN WHOIS ownership,4094,,,,,yes,207.241.240.0/20,4094,
2,Eastern Suffolk BOCES,public,ARIN WHOIS ownership,65534,,,,,yes,170.161.0.0/16,65534,
2,GV/WFL BOCES Educational TechnologyService,public,ARIN WHOIS ownership,16382,,,,,yes,209.68.64.0/18,16382,
2,Greater Southern Tier (GST) BOCES,public,ARIN WHOIS ownership,510,,,,,yes,192.30.126.0/23,510,
2,Greece Central School District,public,ARIN WHOIS ownership,4094,,,,,yes,206.209.176.0/20,4094,
2,Huntington Union Free School District,public,ARIN WHOIS ownership,254,,,,,yes,206.226.138.0/24,254,
2,Kenmore-Town of Tonawanda Union Free School District,public,ARIN WHOIS ownership,4348,,,,,yes,198.199.181.0/24 | 204.27.0.0/20,4348,
2,Madison-Oneida BOCES,public,ARIN WHOIS ownership,65788,,,,,yes,168.170.0.0/16 | 198.252.164.0/24,65788,
2,Malverne Union Free School District,public,ARIN WHOIS ownership,508,,,,,yes,104.166.122.0/24 | 23.179.48.0/24,508,
2,Monroe-Woodbury Central School District,public,ARIN WHOIS ownership,4094,,,,,yes,209.222.32.0/20,4094,
2,NYC BOARD OF EDUCATION,public,ARIN WHOIS ownership,28,,,,,yes,63.116.202.16/28 | 65.211.30.240/28,28,
2,Northport-East Northport Union Free School District,public,ARIN WHOIS ownership,1532,,,,,yes,205.230.186.0/23 | 205.230.188.0/22,1532,
2,Nysernet/NYC Board of Education,public,ARIN WHOIS ownership,1020,,,,,yes,209.2.110.0/23 | 209.2.12.0/23,1020,
2,Orange-Ulster BOCES,public,ARIN WHOIS ownership,4094,,,,,yes,64.90.240.0/20,4094,
2,Rochester City School District,public,ARIN WHOIS ownership,254,,,,,yes,23.190.208.0/24,254,
2,Sachem Central School District,public,ARIN WHOIS ownership,4094,,,,,yes,206.201.208.0/20,4094,
2,Smithtown Union Free School District,public,ARIN WHOIS ownership,254,,,,,yes,206.226.143.0/24,254,
2,South Huntington Union Free School District,public,ARIN WHOIS ownership,254,,,,,yes,206.226.139.0/24,254,
2,Syracuse City School District,public,ARIN WHOIS ownership,5100,,,,,yes,198.36.16.0/21 | 198.36.24.0/22 | 198.36.18.0/24 | 198.36.20.0/24 | 198.36.21.0/24 | 198.36.22.0/24 | 198.36.23.0/24 | 198.36.25.0/24 | 198.36.26.0/24 | 198.36.27.0/24,5100,
2,Ulster County BOCES,public,ARIN WHOIS ownership,16636,,,,,yes,209.2.245.0/24 | 64.75.64.0/18,16636,
2,WASHINGTON SARATOGA WARREN HAMILTON & ESSEX BOCES,public,ARIN WHOIS ownership,4094,,,,,yes,64.69.224.0/20,4094,
2,Western Suffolk BOCES,public,ARIN WHOIS ownership,32766,,,,,yes,206.226.128.0/17,32766,
